date,linked_account_id,linked_account_name,service,service_code,region,unblended_cost,is_estimated
2026-03-01,200000000010,prod-core,AWS Data Transfer,AWSDataTransfer,us-east-1,423.25,false
2026-03-01,200000000010,prod-core,Amazon Elastic Load Balancing,AWSELB,us-east-1,25.08,false
2026-03-01,200000000010,prod-core,AmazonCloudWatch,AmazonCloudWatch,us-east-1,288.09,false
2026-03-01,200000000010,prod-core,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,454.76,false
2026-03-01,200000000010,prod-core,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,17.83,false
2026-03-01,200000000010,prod-core,Amazon ElastiCache,AmazonElastiCache,us-east-1,67.2,false
2026-03-01,200000000010,prod-core,Amazon Relational Database Service,AmazonRDS,us-east-1,233.73,false
2026-03-01,200000000010,prod-core,Amazon Simple Storage Service,AmazonS3,us-east-1,398.39,false
2026-03-01,200000000010,prod-core,Amazon Virtual Private Cloud,AmazonVPC,us-east-1,13.51,false
2026-03-01,200000000011,prod-payments,AWS Data Transfer,AWSDataTransfer,us-east-1,185.74,false
2026-03-01,200000000011,prod-payments,Amazon DynamoDB,AmazonDynamoDB,us-east-1,327.41,false
2026-03-01,200000000011,prod-payments,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,439.1,false
2026-03-01,200000000011,prod-payments,Amazon Kinesis,AmazonKinesis,us-east-1,24.21,false
2026-03-01,200000000011,prod-payments,Amazon Relational Database Service,AmazonRDS,us-east-1,212.8,false
2026-03-01,200000000011,prod-payments,AWS Key Management Service,awskms,us-east-1,2.96,false
2026-03-01,200000000012,staging,AmazonCloudWatch,AmazonCloudWatch,us-east-1,104.52,false
2026-03-01,200000000012,staging,Amazon Elastic Compute Cloud - Compute,AmazonEC2,us-east-1,47.6,false
2026-03-01,200000000012,staging,Amazon Elastic Kubernetes Service,AmazonEKS,us-east-1,10.85,false
2026-03-01,200000000012,staging,Amazon Relational Database Service,AmazonRDS,us-east-1,45.54,false
2026-03-01,200000000013,dev,AWS Lambda,AWSLambda,us-east-1,121.24,false
